replicate,task_id,source_id,dataset_path,difficulty_index,difficulty_stratum,rows,n_features,collinearity_mean_abs,linear_noise_proxy,doe_cell,pair_id,seed,F2_prompt_strictness,F3_context_visibility,F4_timeout_budget,F1_doekit_access,agent_condition,prompt_strictness_level,context_visibility_level,timeout_budget_level,run_order,meta_run_id
1,Task-02,SRC-102,Measures/data/public/diabetes.csv,46.8639,medium,442,10,0.321754,0.482252,7,PAIR_0014,3014,-1,1,-1,1,Agent_With,medium,task_plus_history,short,58,meta_run_00058
3,Task-02,SRC-102,Measures/data/public/diabetes.csv,46.8639,medium,442,10,0.321754,0.482252,1,PAIR_0050,3050,-1,1,1,1,Agent_With,medium,task_plus_history,long,59,meta_run_00059
3,Task-02,SRC-102,Measures/data/public/diabetes.csv,46.8639,medium,442,10,0.321754,0.482252,1,PAIR_0050,3050,-1,1,1,-1,Agent_Without,medium,task_plus_history,long,60,meta_run_00060
3,Task-03,SRC-103,Measures/data/public/wine.csv,38.3494,low,178,13,0.304957,0.099911,6,PAIR_0062,3062,1,-1,-1,1,Agent_With,high,task_only,short,61,meta_run_00061
3,Task-03,SRC-103,Measures/data/public/wine.csv,38.3494,low,178,13,0.304957,0.099911,6,PAIR_0062,3062,1,-1,-1,-1,Agent_Without,high,task_only,short,62,meta_run_00062
2,Task-02,SRC-102,Measures/data/public/diabetes.csv,46.8639,medium,442,10,0.321754,0.482252,1,PAIR_0029,3029,-1,1,1,-1,Agent_Without,medium,task_plus_history,long,63,meta_run_00063
2,Task-02,SRC-102,Measures/data/public/diabetes.csv,46.8639,medium,442,10,0.321754,0.482252,1,PAIR_0029,3029,-1,1,1,1,Agent_With,medium,task_plus_history,long,64,meta_run_00064
3,Task-03,SRC-103,Measures/data/public/wine.csv,38.3494,low,178,13,0.304957,0.099911,3,PAIR_0059,3059,1,1,-1,1,Agent_With,high,task_plus_history,short,65,meta_run_00065
3,Task-03,SRC-103,Measures/data/public/wine.csv,38.3494,low,178,13,0.304957,0.099911,3,PAIR_0059,3059,1,1,-1,-1,Agent_Without,high,task_plus_history,short,66,meta_run_00066
3,Task-02,SRC-102,Measures/data/public/diabetes.csv,46.8639,medium,442,10,0.321754,0.482252,2,PAIR_0051,3051,-1,-1,1,-1,Agent_Without,medium,task_only,long,67,meta_run_00067
3,Task-02,SRC-102,Measures/data/public/diabetes.csv,46.8639,medium,442,10,0.321754,0.482252,2,PAIR_0051,3051,-1,-1,1,1,Agent_With,medium,task_only,long,68,meta_run_00068
2,Task-01,SRC-101,Measures/data/public/california_housing.csv,48.3813,high,20640,8,0.132442,0.393767,7,PAIR_0028,3028,-1,1,-1,1,Agent_With,medium,task_plus_history,short,69,meta_run_00069
2,Task-01,SRC-101,Measures/data/public/california_housing.csv,48.3813,high,20640,8,0.132442,0.393767,7,PAIR_0028,3028,-1,1,-1,-1,Agent_Without,medium,task_plus_history,short,70,meta_run_00070
1,Task-03,SRC-103,Measures/data/public/wine.csv,38.3494,low,178,13,0.304957,0.099911,5,PAIR_0019,3019,1,-1,1,1,Agent_With,high,task_only,long,71,meta_run_00071
1,Task-03,SRC-103,Measures/data/public/wine.csv,38.3494,low,178,13,0.304957,0.099911,5,PAIR_0019,3019,1,-1,1,-1,Agent_Without,high,task_only,long,72,meta_run_00072
1,Task-02,SRC-102,Measures/data/public/diabetes.csv,46.8639,medium,442,10,0.321754,0.482252,6,PAIR_0013,3013,1,-1,-1,1,Agent_With,high,task_only,short,73,meta_run_00073
1,Task-02,SRC-102,Measures/data/public/diabetes.csv,46.8639,medium,442,10,0.321754,0.482252,6,PAIR_0013,3013,1,-1,-1,-1,Agent_Without,high,task_only,short,74,meta_run_00074
1,Task-02,SRC-102,Measures/data/public/diabetes.csv,46.8639,medium,442,10,0.321754,0.482252,1,PAIR_0008,3008,-1,1,1,-1,Agent_Without,medium,task_plus_history,long,75,meta_run_00075
1,Task-02,SRC-102,Measures/data/public/diabetes.csv,46.8639,medium,442,10,0.321754,0.482252,1,PAIR_0008,3008,-1,1,1,1,Agent_With,medium,task_plus_history,long,76,meta_run_00076
2,Task-01,SRC-101,Measures/data/public/california_housing.csv,48.3813,high,20640,8,0.132442,0.393767,5,PAIR_0026,3026,1,-1,1,-1,Agent_Without,high,task_only,long,77,meta_run_00077
2,Task-01,SRC-101,Measures/data/public/california_housing.csv,48.3813,high,20640,8,0.132442,0.393767,5,PAIR_0026,3026,1,-1,1,1,Agent_With,high,task_only,long,78,meta_run_00078
3,Task-02,SRC-102,Measures/data/public/diabetes.csv,46.8639,medium,442,10,0.321754,0.482252,3,PAIR_0052,3052,1,1,-1,1,Agent_With,high,task_plus_history,short,79,meta_run_00079
3,Task-02,SRC-102,Measures/data/public/diabetes.csv,46.8639,medium,442,10,0.321754,0.482252,3,PAIR_0052,3052,1,1,-1,-1,Agent_Without,high,task_plus_history,short,80,meta_run_00080
2,Task-03,SRC-103,Measures/data/public/wine.csv,38.3494,low,178,13,0.304957,0.099911,4,PAIR_0039,3039,-1,-1,-1,1,Agent_With,medium,task_only,short,81,meta_run_00081
2,Task-03,SRC-103,Measures/data/public/wine.csv,38.3494,low,178,13,0.304957,0.099911,4,PAIR_0039,3039,-1,-1,-1,-1,Agent_Without,medium,task_only,short,82,meta_run_00082
1,Task-03,SRC-103,Measures/data/public/wine.csv,38.3494,low,178,13,0.304957,0.099911,4,PAIR_0018,3018,-1,-1,-1,1,Agent_With,medium,task_only,short,83,meta_run_00083
1,Task-03,SRC-103,Measures/data/public/wine.csv,38.3494,low,178,13,0.304957,0.099911,4,PAIR_0018,3018,-1,-1,-1,-1,Agent_Without,medium,task_only,short,84,meta_run_00084
3,Task-01,SRC-101,Measures/data/public/california_housing.csv,48.3813,high,20640,8,0.132442,0.393767,7,PAIR_0049,3049,-1,1,-1,-1,Agent_Without,medium,task_plus_history,short,85,meta_run_00085
3,Task-01,SRC-101,Measures/data/public/california_housing.csv,48.3813,high,20640,8,0.132442,0.393767,7,PAIR_0049,3049,-1,1,-1,1,Agent_With,medium,task_plus_history,short,86,meta_run_00086
3,Task-02,SRC-102,Measures/data/public/diabetes.csv,46.8639,medium,442,10,0.321754,0.482252,6,PAIR_0055,3055,1,-1,-1,-1,Agent_Without,high,task_only,short,87,meta_run_00087
3,Task-02,SRC-102,Measures/data/public/diabetes.csv,46.8639,medium,442,10,0.321754,0.482252,6,PAIR_0055,3055,1,-1,-1,1,Agent_With,high,task_only,short,88,meta_run_00088
2,Task-02,SRC-102,Measures/data/public/diabetes.csv,46.8639,medium,442,10,0.321754,0.482252,4,PAIR_0032,3032,-1,-1,-1,-1,Agent_Without,medium,task_only,short,89,meta_run_00089
2,Task-02,SRC-102,Measures/data/public/diabetes.csv,46.8639,medium,442,10,0.321754,0.482252,4,PAIR_0032,3032,-1,-1,-1,1,Agent_With,medium,task_only,short,90,meta_run_00090
2,Task-03,SRC-103,Measures/data/public/wine.csv,38.3494,low,178,13,0.304957,0.099911,5,PAIR_0040,3040,1,-1,1,-1,Agent_Without,high,task_only,long,91,meta_run_00091
2,Task-03,SRC-103,Measures/data/public/wine.csv,38.3494,low,178,13,0.304957,0.099911,5,PAIR_0040,3040,1,-1,1,1,Agent_With,high,task_only,long,92,meta_run_00092
2,Task-01,SRC-101,Measures/data/public/california_housing.csv,48.3813,high,20640,8,0.132442,0.393767,6,PAIR_0027,3027,1,-1,-1,1,Agent_With,high,task_only,short,93,meta_run_00093
2,Task-01,SRC-101,Measures/data/public/california_housing.csv,48.3813,high,20640,8,0.132442,0.393767,6,PAIR_0027,3027,1,-1,-1,-1,Agent_Without,high,task_only,short,94,meta_run_00094
1,Task-02,SRC-102,Measures/data/public/diabetes.csv,46.8639,medium,442,10,0.321754,0.482252,3,PAIR_0010,3010,1,1,-1,-1,Agent_Without,high,task_plus_history,short,95,meta_run_00095
1,Task-02,SRC-102,Measures/data/public/diabetes.csv,46.8639,medium,442,10,0.321754,0.482252,3,PAIR_0010,3010,1,1,-1,1,Agent_With,high,task_plus_history,short,96,meta_run_00096
2,Task-01,SRC-101,Measures/data/public/california_housing.csv,48.3813,high,20640,8,0.132442,0.393767,2,PAIR_0023,3023,-1,-1,1,1,Agent_With,medium,task_only,long,97,meta_run_00097
2,Task-01,SRC-101,Measures/data/public/california_housing.csv,48.3813,high,20640,8,0.132442,0.393767,2,PAIR_0023,3023,-1,-1,1,-1,Agent_Without,medium,task_only,long,98,meta_run_00098
3,Task-01,SRC-101,Measures/data/public/california_housing.csv,48.3813,high,20640,8,0.132442,0.393767,1,PAIR_0043,3043,-1,1,1,1,Agent_With,medium,task_plus_history,long,99,meta_run_00099
3,Task-01,SRC-101,Measures/data/public/california_housing.csv,48.3813,high,20640,8,0.132442,0.393767,1,PAIR_0043,3043,-1,1,1,-1,Agent_Without,medium,task_plus_history,long,100,meta_run_00100
2,Task-02,SRC-102,Measures/data/public/diabetes.csv,46.8639,medium,442,10,0.321754,0.482252,6,PAIR_0034,3034,1,-1,-1,-1,Agent_Without,high,task_only,short,101,meta_run_00101
2,Task-02,SRC-102,Measures/data/public/diabetes.csv,46.8639,medium,442,10,0.321754,0.482252,6,PAIR_0034,3034,1,-1,-1,1,Agent_With,high,task_only,short,102,meta_run_00102
3,Task-03,SRC-103,Measures/data/public/wine.csv,38.3494,low,178,13,0.304957,0.099911,1,PAIR_0057,3057,-1,1,1,-1,Agent_Without,medium,task_plus_history,long,103,meta_run_00103
3,Task-03,SRC-103,Measures/data/public/wine.csv,38.3494,low,178,13,0.304957,0.099911,1,PAIR_0057,3057,-1,1,1,1,Agent_With,medium,task_plus_history,long,104,meta_run_00104
1,Task-01,SRC-101,Measures/data/public/california_housing.csv,48.3813,high,20640,8,0.132442,0.393767,7,PAIR_0007,3007,-1,1,-1,1,Agent_With,medium,task_plus_history,short,105,meta_run_00105
1,Task-01,SRC-101,Measures/data/public/california_housing.csv,48.3813,high,20640,8,0.132442,0.393767,7,PAIR_0007,3007,-1,1,-1,-1,Agent_Without,medium,task_plus_history,short,106,meta_run_00106
2,Task-02,SRC-102,Measures/data/public/diabetes.csv,46.8639,medium,442,10,0.321754,0.482252,7,PAIR_0035,3035,-1,1,-1,1,Agent_With,medium,task_plus_history,short,107,meta_run_00107
2,Task-02,SRC-102,Measures/data/public/diabetes.csv,46.8639,medium,442,10,0.321754,0.482252,7,PAIR_0035,3035,-1,1,-1,-1,Agent_Without,medium,task_plus_history,short,108,meta_run_00108
2,Task-02,SRC-102,Measures/data/public/diabetes.csv,46.8639,medium,442,10,0.321754,0.482252,5,PAIR_0033,3033,1,-1,1,1,Agent_With,high,task_only,long,109,meta_run_00109
2,Task-02,SRC-102,Measures/data/public/diabetes.csv,46.8639,medium,442,10,0.321754,0.482252,5,PAIR_0033,3033,1,-1,1,-1,Agent_Without,high,task_only,long,110,meta_run_00110
1,Task-03,SRC-103,Measures/data/public/wine.csv,38.3494,low,178,13,0.304957,0.099911,7,PAIR_0021,3021,-1,1,-1,-1,Agent_Without,medium,task_plus_history,short,111,meta_run_00111
1,Task-03,SRC-103,Measures/data/public/wine.csv,38.3494,low,178,13,0.304957,0.099911,7,PAIR_0021,3021,-1,1,-1,1,Agent_With,medium,task_plus_history,short,112,meta_run_00112
3,Task-02,SRC-102,Measures/data/public/diabetes.csv,46.8639,medium,442,10,0.321754,0.482252,7,PAIR_0056,3056,-1,1,-1,-1,Agent_Without,medium,task_plus_history,short,113,meta_run_00113
3,Task-02,SRC-102,Measures/data/public/diabetes.csv,46.8639,medium,442,10,0.321754,0.482252,7,PAIR_0056,3056,-1,1,-1,1,Agent_With,medium,task_plus_history,short,114,meta_run_00114
1,Task-03,SRC-103,Measures/data/public/wine.csv,38.3494,low,178,13,0.304957,0.099911,1,PAIR_0015,3015,-1,1,1,-1,Agent_Without,medium,task_plus_history,long,115,meta_run_00115
1,Task-03,SRC-103,Measures/data/public/wine.csv,38.3494,low,178,13,0.304957,0.099911,1,PAIR_0015,3015,-1,1,1,1,Agent_With,medium,task_plus_history,long,116,meta_run_00116
2,Task-03,SRC-103,Measures/data/public/wine.csv,38.3494,low,178,13,0.304957,0.099911,6,PAIR_0041,3041,1,-1,-1,-1,Agent_Without,high,task_only,short,117,meta_run_00117
2,Task-03,SRC-103,Measures/data/public/wine.csv,38.3494,low,178,13,0.304957,0.099911,6,PAIR_0041,3041,1,-1,-1,1,Agent_With,high,task_only,short,118,meta_run_00118
3,Task-01,SRC-101,Measures/data/public/california_housing.csv,48.3813,high,20640,8,0.132442,0.393767,6,PAIR_0048,3048,1,-1,-1,-1,Agent_Without,high,task_only,short,119,meta_run_00119
3,Task-01,SRC-101,Measures/data/public/california_housing.csv,48.3813,high,20640,8,0.132442,0.393767,6,PAIR_0048,3048,1,-1,-1,1,Agent_With,high,task_only,short,120,meta_run_00120
2,Task-03,SRC-103,Measures/data/public/wine.csv,38.3494,low,178,13,0.304957,0.099911,7,PAIR_0042,3042,-1,1,-1,-1,Agent_Without,medium,task_plus_history,short,121,meta_run_00121
2,Task-03,SRC-103,Measures/data/public/wine.csv,38.3494,low,178,13,0.304957,0.099911,7,PAIR_0042,3042,-1,1,-1,1,Agent_With,medium,task_plus_history,short,122,meta_run_00122
2,Task-03,SRC-103,Measures/data/public/wine.csv,38.3494,low,178,13,0.304957,0.099911,1,PAIR_0036,3036,-1,1,1,-1,Agent_Without,medium,task_plus_history,long,123,meta_run_00123
2,Task-03,SRC-103,Measures/data/public/wine.csv,38.3494,low,178,13,0.304957,0.099911,1,PAIR_0036,3036,-1,1,1,1,Agent_With,medium,task_plus_history,long,124,meta_run_00124
1,Task-02,SRC-102,Measures/data/public/diabetes.csv,46.8639,medium,442,10,0.321754,0.482252,4,PAIR_0011,3011,-1,-1,-1,1,Agent_With,medium,task_only,short,125,meta_run_00125
1,Task-02,SRC-102,Measures/data/public/diabetes.csv,46.8639,medium,442,10,0.321754,0.482252,4,PAIR_0011,3011,-1,-1,-1,-1,Agent_Without,medium,task_only,short,126,meta_run_00126
